=============================================
 Remaining experiments (with NCCL fix)
 Started: Sun Mar  8 21:50:51 UTC 2026
=============================================

=============================================
 [full_raw_moe] Starting training
 Config: configs/full_raw_moe.yaml
 Sun Mar  8 21:50:52 UTC 2026
=============================================
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] 
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] *****************************************
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] *****************************************

============================================================
 Experiment: full_raw_moe
 Config:     configs/full_raw_moe.yaml
 Parallelism: FSDP2 + compile
 MoE: 8 experts, top-2
============================================================

Loading existing tokenizer from tokenizer_16k
/opt/conda/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:4876: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  warnings.warn(  # warn only once
[rank0]:[W308 21:51:01.536728210 ProcessGroupNCCL.cpp:5068] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
Tokenizer: vocab=16384, eos_id=1, pad_id=0
Using streaming data loader (sharded dataset)
Estimated tokens: ~57,500,000,000
Steps/epoch: ~219,345, Total steps: ~219,345
Warmup: 2,193 steps
Tok/step: 262,016
Initializing model ...
Parameters: 1,409,471,232 total, 390,255,360 active/token (12,582,912 embed + 1,396,888,320 non-embed)
Applying FSDP2 (fully_shard) ...
Compiling model with torch.compile ...
W&B init failed (No API key configured. Use `wandb login` to log in.), continuing without logging
  step   4200/219345 | loss 3.4019 | ppl 30.02 | lr 3.00e-04 | 276131 tok/s | MFU 8.2%
  step   4300/219345 | loss 3.3049 | ppl 27.25 | lr 3.00e-04 | 276551 tok/s | MFU 8.2%
  step   4400/219345 | loss 3.2104 | ppl 24.79 | lr 3.00e-04 | 277148 tok/s | MFU 8.2%
  step   4500/219345 | loss 3.6941 | ppl 40.21 | lr 3.00e-04 | 277592 tok/s | MFU 8.2%
  step   4600/219345 | loss 3.5627 | ppl 35.26 | lr 3.00e-04 | 278076 tok/s | MFU 8.2%
  step   4700/219345 | loss 3.0375 | ppl 20.85 | lr 3.00e-04 | 278512 tok/s | MFU 8.2%
  step   4800/219345 | loss 3.3988 | ppl 29.93 | lr 3.00e-04 | 278929 tok/s | MFU 8.3%
  step   4900/219345 | loss 3.4749 | ppl 32.29 | lr 3.00e-04 | 279370 tok/s | MFU 8.3%
  step   5000/219345 | loss 3.4976 | ppl 33.04 | lr 3.00e-04 | 279636 tok/s | MFU 8.3%
  Saved checkpoint -> runs/full_raw_moe/latest.pt
  step   5100/219345 | loss 2.8595 | ppl 17.45 | lr 3.00e-04 | 279470 tok/s | MFU 8.3%
  step   5200/219345 | loss 3.5132 | ppl 33.56 | lr 3.00e-04 | 279874 tok/s | MFU 8.3%
  step   5300/219345 | loss 3.4553 | ppl 31.67 | lr 3.00e-04 | 280140 tok/s | MFU 8.3%
  step   5400/219345 | loss 3.3767 | ppl 29.27 | lr 3.00e-04 | 280670 tok/s | MFU 8.3%
  step   5500/219345 | loss 3.4403 | ppl 31.20 | lr 3.00e-04 | 280968 tok/s | MFU 8.3%
